idhspid,bidx,country_str,dhs_code,kidbirthmo,kidbirthyr,precip_12m,z_precip_12m,n_months_matched,n_years_avg
        340021 21  1,1,HN,1,8,2007,157.8964476632661,.3003292301578641,12,15
        340021 21  9,1,HN,1,1,2011,169.0748285270577,.18653564559905,12,15
        340021 61  1,1,HN,1,12,2010,166.214055628891,.1789025761602796,12,15
        340021 61  1,2,HN,1,10,2008,141.1507498121025,-.3115562225820357,12,15
        3400210 21  6,1,HN,1,2,2010,145.3838241459491,.1276532929918801,12,15
        3400210 31  1,1,HN,1,4,2011,161.0665226659753,.048179535390199,12,15
        3400210 51  6,1,HN,1,7,2011,176.8401961318696,.6177479970099097,12,15
        3400210 61  1,1,HN,1,3,2010,144.3779293763097,.1113346919771786,12,15
        3400210 71  1,1,HN,1,1,2008,162.5732869331621,.1873560302347077,12,15
        34002100 21  2,1,HN,2,12,2010,164.2185713287975,.10704717640932,12,15
        34002100 21  2,2,HN,2,2,2009,155.5068944958918,-.4348747129014667,12,15
        34002100 71  6,1,HN,2,8,2010,158.9837310905001,.0654444138315233,12,15
        34002100 71  6,2,HN,2,8,2007,164.680353700943,.3043364636894565,12,15
        34002100 72  2,1,HN,2,12,2010,164.2185713287975,.10704717640932,12,15
        34002100 81  2,1,HN,2,2,2011,160.9385984177074,-.0082533614711762,12,15
        34002100 81  2,2,HN,2,10,2008,151.8090365464651,-.416052678835731,12,15
        340021000 11  3,1,HN,16,8,2009,125.1996599482805,-.0686446813089224,12,15
        340021000 31  3,1,HN,16,1,2012,130.9821337811164,.103423434691525,12,15
        340021000 41  4,1,HN,16,6,2009,128.4090831797405,-.1280421671582415,12,15
        340021000 61  2,1,HN,16,6,2009,128.4090831797405,-.1280421671582415,12,15
        340021000 91  2,1,HN,16,12,2010,145.1180317291195,.1874474354310652,12,15
        340021000101  2,1,HN,16,3,2010,138.6860369355933,.0796224092209495,12,15
        340021000101  2,2,HN,16,4,2008,146.1609565977808,.0582518135019027,12,15
        340021000111  2,1,HN,16,7,2007,134.8764456797471,-.1135924489420221,12,15
        340021000161  2,1,HN,16,5,2011,147.4918565036102,.3906905621510874,12,15
        340021000181  1,1,HN,16,8,2010,138.9239721507501,.0919803905922987,12,15
        340021000201  2,1,HN,16,10,2007,132.386952376035,-.0264574632512956,12,15
        340021001 71  2,1,HN,16,3,2008,147.7135606991729,.1493908104286931,12,15
        340021001 81  2,1,HN,16,7,2008,151.0323716021902,.0527310741910547,12,15
        34002100111  2,1,HN,2,7,2008,169.6103459423602,.156686832224772,12,15
        340021001111  2,1,HN,16,7,2007,134.8764456797471,-.1135924489420221,12,15
        340021001161  4,1,HN,16,6,2010,133.3680120774294,.0683839573680923,12,15
        340021001161  4,2,HN,16,10,2007,132.386952376035,-.0264574632512956,12,15
        340021001181  5,1,HN,16,9,2010,135.9628104098344,.0509241208449713,12,15
        340021001182  2,1,HN,16,10,2010,132.0029289810641,-.0250256481219465,12,15
        340021001201  2,1,HN,16,9,2009,131.7449005043582,.0200732667573872,12,15
        340021001201  2,2,HN,16,9,2009,131.7449005043582,.0200732667573872,12,15
        340021001201  2,3,HN,16,12,2006,135.5429867812099,.1672308452035638,12,15
        34002100121  2,1,HN,2,11,2011,161.9249635659744,.2984662587520575,12,15
        34002100121  2,2,HN,2,5,2008,164.2964190324047,.0756890077253338,12,15
        34002100171  7,1,HN,2,8,2010,158.9837310905001,.0654444138315233,12,15
        340021002 21  2,1,HN,16,1,2008,150.258066847045,.2588358501698945,12,15
        340021002 41  2,1,HN,16,3,2011,142.464653417935,.0460242876726137,12,15
        340021002 81  2,1,HN,16,6,2010,133.3680120774294,.0683839573680923,12,15
        340021002 91  2,1,HN,16,10,2011,142.7049403500134,.2814844119369798,12,15
        340021002 91  2,2,HN,16,6,2008,140.8665027055511,-.0396033368491364,12,15
        34002100202  2,1,HN,2,4,2007,149.6983959720861,-.1206147773423124,12,15
        34002100203  2,1,HN,2,8,2008,157.7847554757163,-.2053203201253792,12,15
        340021002101  2,1,HN,16,10,2007,132.386952376035,-.0264574632512956,12,15
        340021002141  2,1,HN,16,5,2008,145.499156371753,.022624961468453,12,15
        340021003 31  8,1,HN,16,11,2011,141.2753260883737,.2635793408232702,12,15
        340021003 61  3,1,HN,16,7,2010,141.9663947882213,.1454971332633526,12,15
        340021003101  2,1,HN,16,12,2009,148.1333843787514,.2921449233662505,12,15
        340021003111  2,1,HN,16,8,2010,138.9239721507501,.0919803905922987,12,15
        340021003141  3,1,HN,16,2,2009,121.5128207897169,-.2983836481194532,12,15
        340021003151  2,1,HN,16,9,2007,138.1727382284214,.0698475739453736,12,15
        340021003181  2,1,HN,16,6,2009,128.4090831797405,-.1280421671582415,12,15
        340021003201  4,1,HN,16,7,2009,112.9623200443113,-.2705799262619766,12,15
        340021003201  4,2,HN,16,2,2008,147.394609498773,.1343586755937015,12,15
        340021004 21  2,1,HN,16,5,2007,126.1593421635362,-.2043758960334669,12,15
        340021004 61  9,1,HN,16,9,2007,138.1727382284214,.0698475739453736,12,15
        340021004 71  4,1,HN,16,3,2010,138.6860369355933,.0796224092209495,12,15
