country,dhs_code,birth_year,month,baseline_mean,baseline_sd,n_years_used,baseline_year_start,baseline_year_end
HN,1,1993,1,141.1714637205467,44.43051473252898,13,1980,1992
HN,1,1993,2,129.1967712243523,62.07178003076839,13,1980,1992
HN,1,1993,3,80.90078488720846,31.99087580077321,13,1980,1992
HN,1,1993,4,52.00790152949821,25.60113313600964,13,1980,1992
HN,1,1993,5,95.52814134744823,51.35144132861316,13,1980,1992
HN,1,1993,6,147.8903285735808,37.49888591996796,13,1980,1992
HN,1,1993,7,151.6670500506126,42.96626284063407,13,1980,1992
HN,1,1993,8,153.050044285615,42.642912981621,13,1980,1992
HN,1,1993,9,197.9475392085027,43.05065276008504,13,1980,1992
HN,1,1993,10,239.1128203566658,91.99858989684243,13,1980,1992
HN,1,1993,11,230.899724986582,112.5726439521773,13,1980,1992
HN,1,1993,12,248.7767297202209,83.42707684092488,13,1980,1992
HN,1,1994,1,140.6509913415929,42.73185618146102,14,1980,1993
HN,1,1994,2,126.2612213046554,60.63969696272528,14,1980,1993
HN,1,1994,3,85.84240393116094,35.86873568053034,14,1980,1993
HN,1,1994,4,54.12447109824382,25.84026667034965,14,1980,1993
HN,1,1994,5,99.44187000228612,51.46424436093415,14,1980,1993
HN,1,1994,6,149.2188269545763,36.36905974700648,14,1980,1993
HN,1,1994,7,149.4590187730978,42.09926008501766,14,1980,1993
HN,1,1994,8,154.8299779973621,41.50775847960151,14,1980,1993
HN,1,1994,9,199.9606126387689,42.0419689582466,14,1980,1993
HN,1,1994,10,239.263241139016,88.39117799828982,14,1980,1993
HN,1,1994,11,229.3272881052083,108.3162064393515,14,1980,1993
HN,1,1994,12,247.456721104681,80.30616737608599,14,1980,1993
HN,1,1995,1,146.0244810056582,46.13781534778742,15,1980,1994
HN,1,1995,2,125.1135748724518,58.60267936982088,15,1980,1994
HN,1,1995,3,83.64120333783197,35.59982969671529,15,1980,1994
HN,1,1995,4,52.71852159781297,25.48873378610096,15,1980,1994
HN,1,1995,5,98.17179191429203,49.83554416618855,15,1980,1994
HN,1,1995,6,145.0309189573758,38.61745626932991,15,1980,1994
HN,1,1995,7,144.5817609143337,44.75004020952812,15,1980,1994
HN,1,1995,8,150.792201755424,42.94630031280231,15,1980,1994
HN,1,1995,9,204.9248687077427,44.8434252605442,15,1980,1994
HN,1,1995,10,232.8245951320422,88.75117650233659,15,1980,1994
HN,1,1995,11,226.8493758035063,104.8163761316131,15,1980,1994
HN,1,1995,12,241.1337702146219,81.1672811515417,15,1980,1994
HN,1,1996,1,146.9461832946872,46.11174534564544,15,1981,1995
HN,1,1996,2,125.6785109239288,58.61769013627183,15,1981,1995
HN,1,1996,3,87.34413552092153,31.69749176674686,15,1981,1995
HN,1,1996,4,52.60827344827236,25.26243655380382,15,1981,1995
HN,1,1996,5,94.53887335058363,54.1461487783162,15,1981,1995
HN,1,1996,6,141.7168342922448,37.25195161684077,15,1981,1995
HN,1,1996,7,145.7842822150689,45.98868283178962,15,1981,1995
HN,1,1996,8,154.5203688515862,44.80384024106675,15,1981,1995
HN,1,1996,9,200.24640662112,41.48707004687037,15,1981,1995
HN,1,1996,10,227.7667675433038,81.1656858283972,15,1981,1995
HN,1,1996,11,225.7699451209846,104.3248406817139,15,1981,1995
HN,1,1996,12,239.9664637325995,81.92932947481714,15,1981,1995
HN,1,1997,1,149.4244325818732,43.40146575160809,15,1982,1996
HN,1,1997,2,115.76942680398,55.26083648384274,15,1982,1996
HN,1,1997,3,85.17388511282144,31.42674240678074,15,1982,1996
HN,1,1997,4,55.79897178978286,26.47387366711631,15,1982,1996
HN,1,1997,5,95.85605819433727,53.88158934708621,15,1982,1996
HN,1,1997,6,132.61640024591,33.16396151124381,15,1982,1996
HN,1,1997,7,145.7017778599157,45.98942144968753,15,1982,1996
HN,1,1997,8,155.4150909947186,46.47650640020989,15,1982,1996
HN,1,1997,9,193.0863702202539,47.74770173884123,15,1982,1996
HN,1,1997,10,218.1867004950807,74.47804405781346,15,1982,1996
HN,1,1997,11,244.3585554239434,102.6544996285246,15,1982,1996
HN,1,1997,12,226.9932336688339,74.17120467181402,15,1982,1996
HN,1,1998,1,149.3819935258979,43.42096349159148,15,1983,1997
HN,1,1998,2,116.2634348914565,55.83716504574465,15,1983,1997
HN,1,1998,3,81.75655502587934,32.31548701191172,15,1983,1997
HN,1,1998,4,53.07751356128465,26.70542432412525,15,1983,1997
HN,1,1998,5,89.82312595613644,51.75197362277116,15,1983,1997
HN,1,1998,6,132.2880487686495,33.03080850462946,15,1983,1997
HN,1,1998,7,147.3828020536083,45.64079794837685,15,1983,1997
HN,1,1998,8,157.6716131434413,45.91531509555127,15,1983,1997
HN,1,1998,9,191.5349685506391,47.30086783156263,15,1983,1997
HN,1,1998,10,217.7232384308651,74.57270463876165,15,1983,1997
HN,1,1998,11,262.5383526543759,105.7845019322625,15,1983,1997
HN,1,1998,12,223.0093232375126,79.1845556152382,15,1983,1997
HN,1,1999,1,156.5205805413063,46.27746373289565,15,1984,1998
HN,1,1999,2,109.2308061185603,59.18080843699711,15,1984,1998
HN,1,1999,3,82.06114598690274,31.99523669064934,15,1984,1998
HN,1,1999,4,54.74351093537086,26.39558230879003,15,1984,1998
HN,1,1999,5,93.78980362152728,48.80818332739246,15,1984,1998
HN,1,1999,6,129.2769389136592,33.51609380477805,15,1984,1998
HN,1,1999,7,143.5449213105215,42.31781618831106,15,1984,1998
HN,1,1999,8,156.2462250390136,46.12870614479763,15,1984,1998
HN,1,1999,9,190.0653544695616,49.17858275460839,15,1984,1998
HN,1,1999,10,237.1926387236726,113.1883847123456,15,1984,1998
HN,1,1999,11,267.3250498048536,107.8229332958462,15,1984,1998
HN,1,1999,12,225.0707500732285,77.8786586273563,15,1984,1998
HN,1,2000,1,153.4240665863714,44.50213066259219,15,1985,1999
HN,1,2000,2,105.4334997527083,51.48552426758427,15,1985,1999
HN,1,2000,3,77.91680974842734,34.8308696933606,15,1985,1999
HN,1,2000,4,55.20902041310116,26.10349110845381,15,1985,1999
HN,1,2000,5,88.88055707352599,48.13492901870693,15,1985,1999
HN,1,2000,6,127.5500390601987,33.16072531023367,15,1985,1999
HN,1,2000,7,141.4897740084521,40.00783333123597,15,1985,1999
HN,1,2000,8,155.0906964483919,45.79804553737815,15,1985,1999
HN,1,2000,9,188.0885227565683,48.75539954617319,15,1985,1999
HN,1,2000,10,235.8244385625798,113.8364525752624,15,1985,1999
HN,1,2000,11,275.6522010909836,102.2291955094992,15,1985,1999
HN,1,2000,12,219.5376573299816,82.25297997443829,15,1985,1999
HN,1,2001,1,154.6862470439455,42.556037598218,15,1986,2000
HN,1,2001,2,100.0721437591317,53.18851965407737,15,1986,2000
HN,1,2001,3,75.2823306579397,36.86235365835805,15,1986,2000
HN,1,2001,4,54.26929553924485,26.20188129929384,15,1986,2000
HN,1,2001,5,94.10009451759491,49.6470869662817,15,1986,2000
HN,1,2001,6,129.6789691327111,31.25411700985277,15,1986,2000
HN,1,2001,7,137.9391919812868,41.48499255959905,15,1986,2000
HN,1,2001,8,162.5017962401376,46.49905899976967,15,1986,2000
HN,1,2001,9,191.4951470557823,47.70423580959748,15,1986,2000
HN,1,2001,10,242.4767854032911,116.4524471536067,15,1986,2000
HN,1,2001,11,271.6359156221181,105.0109886017396,15,1986,2000
HN,1,2001,12,213.7235481334829,83.45470909416359,15,1986,2000
HN,1,2002,1,148.8940140146934,48.05148418891368,15,1987,2001
HN,1,2002,2,105.8769076538222,58.67110474593528,15,1987,2001
HN,1,2002,3,72.68770833139715,37.57875447517523,15,1987,2001
HN,1,2002,4,56.06006648066213,23.7314172114028,15,1987,2001
HN,1,2002,5,98.27087479273942,56.18379837409132,15,1987,2001
HN,1,2002,6,125.4214179934474,38.29522994300579,15,1987,2001
HN,1,2002,7,138.6377815198811,41.08010430447543,15,1987,2001
HN,1,2002,8,168.3427420903263,46.12783350045471,15,1987,2001
